"","filename","species_tree","alignment","beast_run","gamma_stat"
"32","article_0_0_0_0_0.RDa",1,2,2,4.46052062271964
"33","article_0_0_0_0_0.RDa",1,2,2,2.97021356691468
"34","article_0_0_0_0_0.RDa",1,2,2,1.91529833260692
"35","article_0_0_0_0_0.RDa",1,2,2,2.04017949811484
"36","article_0_0_0_0_0.RDa",1,2,2,-5.60986523743776
"37","article_0_0_0_0_0.RDa",1,2,2,-6.81763430288196
"38","article_0_0_0_0_0.RDa",1,2,2,-6.7814779307531
"39","article_0_0_0_0_0.RDa",1,2,2,-6.60342816396815
"40","article_0_0_0_0_0.RDa",1,2,2,-6.64659761819652
"41","article_0_0_0_0_0.RDa",2,1,1,4.62397447151855
"42","article_0_0_0_0_0.RDa",2,1,1,4.83080408505516
"43","article_0_0_0_0_0.RDa",2,1,1,4.85901693171585
"44","article_0_0_0_0_0.RDa",2,1,1,6.47974258537084
"45","article_0_0_0_0_0.RDa",2,1,1,6.74033276601845
"46","article_0_0_0_0_0.RDa",2,1,1,6.5016156010674
"47","article_0_0_0_0_0.RDa",2,1,1,5.02352766124247
"48","article_0_0_0_0_0.RDa",2,1,1,3.73697768523644
"49","article_0_0_0_0_0.RDa",2,1,1,2.55057882924131
"50","article_0_0_0_0_0.RDa",2,1,1,-0.0224753243281883
"51","article_0_0_0_0_0.RDa",2,1,2,4.33736748015056
"52","article_0_0_0_0_0.RDa",2,1,2,1.92130285734858
"53","article_0_0_0_0_0.RDa",2,1,2,2.64610207971265
"54","article_0_0_0_0_0.RDa",2,1,2,0.710869224125611
"55","article_0_0_0_0_0.RDa",2,1,2,-1.23227683083772
"56","article_0_0_0_0_0.RDa",2,1,2,-5.97589599038928
"57","article_0_0_0_0_0.RDa",2,1,2,-6.42190136511975
"58","article_0_0_0_0_0.RDa",2,1,2,-6.9771133969853
"59","article_0_0_0_0_0.RDa",2,1,2,-7.17055224689119
"60","article_0_0_0_0_0.RDa",2,1,2,-6.83266949524946
"61","article_0_0_0_0_0.RDa",2,2,1,4.4435737205098
"62","article_0_0_0_0_0.RDa",2,2,1,5.42534373520738
"63","article_0_0_0_0_0.RDa",2,2,1,6.63213876034601
"64","article_0_0_0_0_0.RDa",2,2,1,6.77496423338594
"65","article_0_0_0_0_0.RDa",2,2,1,4.74731113842157
"66","article_0_0_0_0_0.RDa",2,2,1,4.33953569800092
"67","article_0_0_0_0_0.RDa",2,2,1,3.17234566746942
"68","article_0_0_0_0_0.RDa",2,2,1,-3.29403467583456
"69","article_0_0_0_0_0.RDa",2,2,1,-6.30202345602484
"70","article_0_0_0_0_0.RDa",2,2,1,-6.08069558944929
"71","article_0_0_0_0_0.RDa",2,2,2,0.936372077136377
"72","article_0_0_0_0_0.RDa",2,2,2,2.87347275629455
"73","article_0_0_0_0_0.RDa",2,2,2,0.765750928086054
"74","article_0_0_0_0_0.RDa",2,2,2,-3.3828842902237
"75","article_0_0_0_0_0.RDa",2,2,2,-4.73290616957317
"76","article_0_0_0_0_0.RDa",2,2,2,-7.65190083613373
"77","article_0_0_0_0_0.RDa",2,2,2,-7.83512031489779
"78","article_0_0_0_0_0.RDa",2,2,2,-7.44791786598366
"79","article_0_0_0_0_0.RDa",2,2,2,-7.75283513096511
"80","article_0_0_0_0_0.RDa",2,2,2,-6.78413513898955
"81","article_0_0_0_0_1.RDa",1,1,1,8.86611463832346
"82","article_0_0_0_0_1.RDa",1,1,1,8.40411698090879
"83","article_0_0_0_0_1.RDa",1,1,1,6.8670340592135
"84","article_0_0_0_0_1.RDa",1,1,1,3.96619236848553
"85","article_0_0_0_0_1.RDa",1,1,1,3.26921874152474
"86","article_0_0_0_0_1.RDa",1,1,1,-1.34648700497686
"87","article_0_0_0_0_1.RDa",1,1,1,-4.32412911891099
"88","article_0_0_0_0_1.RDa",1,1,1,-5.4812423231427
